Region,Campaign,Marketing_Spend_USD,Net_Revenue_USD
North,CMP-NO-01,60727,197109
North,CMP-NO-02,44744,122318
North,CMP-NO-03,41895,192505
North,CMP-NO-04,65413,168502
North,CMP-NO-05,47848,175440
North,CMP-NO-06,63709,212836
North,CMP-NO-07,65357,229563
North,CMP-NO-08,45716,149189
North,CMP-NO-09,29204,114270
North,CMP-NO-10,32499,121646
North,CMP-NO-11,29030,125639
North,CMP-NO-12,45184,166342
North,CMP-NO-13,63469,202149
North,CMP-NO-14,42319,168296
North,CMP-NO-15,64908,190217
North,CMP-NO-16,28537,108356
North,CMP-NO-17,49274,221425
North,CMP-NO-18,53229,184164
South,CMP-SO-01,54676,231869
South,CMP-SO-02,53186,200258
South,CMP-SO-03,58517,249599
South,CMP-SO-04,52538,218206
South,CMP-SO-05,25309,134962
South,CMP-SO-06,34382,186155
South,CMP-SO-07,48858,209074
South,CMP-SO-08,48173,240683
South,CMP-SO-09,34994,189908
South,CMP-SO-10,47483,226931
South,CMP-SO-11,42680,201817
South,CMP-SO-12,29278,161483
South,CMP-SO-13,54356,245083
South,CMP-SO-14,41822,192977
South,CMP-SO-15,56366,226718
South,CMP-SO-16,58106,252262
South,CMP-SO-17,49801,212602
South,CMP-SO-18,25365,165312
East,CMP-EA-01,59813,200859
East,CMP-EA-02,31456,142818
East,CMP-EA-03,34791,150115
East,CMP-EA-04,51073,183553
East,CMP-EA-05,62578,211008
East,CMP-EA-06,49017,182113
East,CMP-EA-07,60405,208238
East,CMP-EA-08,65239,212377
East,CMP-EA-09,48577,179061
East,CMP-EA-10,58661,201400
East,CMP-EA-11,49828,179408
East,CMP-EA-12,53163,188225
East,CMP-EA-13,58731,204029
East,CMP-EA-14,42870,166480
East,CMP-EA-15,54710,192173
East,CMP-EA-16,43398,168040
East,CMP-EA-17,44319,170688
East,CMP-EA-18,58736,201640
West,CMP-WE-01,27025,121510
West,CMP-WE-02,22969,104759
West,CMP-WE-03,39113,176349
West,CMP-WE-04,46615,190832
West,CMP-WE-05,28731,159522
West,CMP-WE-06,49162,168686
West,CMP-WE-07,51259,193447
West,CMP-WE-08,31362,193072
West,CMP-WE-09,40774,199560
West,CMP-WE-10,48066,172629
West,CMP-WE-11,33460,162363
West,CMP-WE-12,21929,106914
West,CMP-WE-13,24557,107410
West,CMP-WE-14,34864,154015
West,CMP-WE-15,54001,199850
West,CMP-WE-16,30442,141055
West,CMP-WE-17,29723,179836
West,CMP-WE-18,55811,208840
Central,CMP-CE-01,38828,186020
Central,CMP-CE-02,26333,139631
Central,CMP-CE-03,38731,152431
Central,CMP-CE-04,25248,136449
Central,CMP-CE-05,33681,165651
Central,CMP-CE-06,39531,156094
Central,CMP-CE-07,32965,152378
Central,CMP-CE-08,32820,139270
Central,CMP-CE-09,31410,146936
Central,CMP-CE-10,41773,165774
Central,CMP-CE-11,31195,156972
Central,CMP-CE-12,31971,148875
Central,CMP-CE-13,36734,155225
Central,CMP-CE-14,23694,136355
Central,CMP-CE-15,45227,180068
Central,CMP-CE-16,39123,162189
Central,CMP-CE-17,28672,128494
Central,CMP-CE-18,18334,116154
